תחום / מודול,משימה מרכזית,תאריך התחלה,תאריך סיום
רישוי יבואנים,פיתוח גרסה ראשונה,1/7/26,28/9/26
רישוי יבואנים,אפיון גרסה שניה,1/10/26,28/10/26
רישוי יבואנים,פיתוח גרסה שניה,1/11/26,28/1/27
הוראות רישום,אפיון טכני מפורט,1/7/26,28/8/26
הוראות רישום,פיתוח גרסה ראשונה,1/10/26,28/12/26
הוראות רישום,אפיון גרסה שניה,1/1/27,28/1/27
הוראות רישום,פיתוח גרסה שניה,1/2/27,28/4/27
יבואנים - מודרניזציה,מסמך דרישות,1/9/26,28/9/26
יבואנים - מודרניזציה,אפיון טכני מפורט,1/10/26,28/11/26
יבואנים - מודרניזציה,פיתוח גרסה ראשונה,1/12/26,28/2/27
דגמים - מודרניזציה,מסמך דרישות,1/12/26,28/12/26
דגמים - מודרניזציה,אפיון טכני מפורט,1/1/27,28/1/27
דגמים - מודרניזציה,פיתוח גרסה ראשונה,1/2/27,28/4/27
מכוני רישוי 2030,מסמך דרישות,1/2/27,28/4/27
מכוני רישוי 2030,כתיבת מכרז,1/5/27,28/10/27
מכוני רישוי 2030,פרסום מכרז ובחירת זוכה,1/11/27,28/4/28
מכוני רישוי 2030,הגדרת רגולציה ויישום תוכנה במכוני הרישוי כולל דיווח נסועה,1/5/28,28/12/29
מכוני רישוי — הסדרת בתי תוכנה,מסמך דרישות,1/2/27,28/3/27
מכוני רישוי — הסדרת בתי תוכנה,כתיבת מכרז,1/4/27,28/8/27
מכוני רישוי — הסדרת בתי תוכנה,פרסום מכרז ובחירת זוכה,1/9/27,28/1/28
מכוני רישוי — הסדרת בתי תוכנה,הגדרת רגולציה ויישום תוכנה במכוני הרישוי,1/2/28,28/8/28
חיבור מוסכים לאגם,מסמך דרישות,1/4/27,28/5/27
חיבור מוסכים לאגם,הגדרת רגולציה ויישום תוכנה במוסכים כולל דיווח נסועה וממשק למכוני הרישוי,1/6/27,28/8/28
רישום ראשוני דיגיטלי,מסמך דרישות,1/6/27,28/7/27
רישום ראשוני דיגיטלי,כתיבת מכרז,1/8/27,28/12/27
רישום ראשוני דיגיטלי,פרסום מכרז ובחירת זוכה,1/1/28,28/4/27
רישום ראשוני דיגיטלי,הגדרת רגולציה ויישום תוכנה במכוני הרישוי,1/5/28,28/11/28
פורטל לציבור לאגם הרכב,מסמך דרישות,1/8/27,27/9/27
פורטל לציבור לאגם הרכב,אפיון טכני מפורט,1/10/27,28/12/27
פורטל לציבור לאגם הרכב,פיתוח גרסה ראשונה,1/1/28,28/4/28
COC דיגיטלי,מסמך דרישות,1/10/27,28/10/27
COC דיגיטלי,אפיון טכני מפורט,1/11/27,28/1/28
COC דיגיטלי,פיתוח גרסה ראשונה,1/2/28,28/4/28
חיבור מעבדות תקינה לאגם,מסמך דרישות,1/11/27,28/12/27
חיבור מעבדות תקינה לאגם,הגדרת רגולציה ויישום תוכנה במעבדות כולל שינוי מבנה,1/1/28,28/12/28
רישיון דיגיטלי,מסמך דרישות,1/1/28,28/2/28
רישיון דיגיטלי,הגדרת רגולציה ויישום תוכנה,1/3/28,28/3/29
מודול ריקול,מסמך דרישות,1/3/28,28/4/28
מודול ריקול,הגדרת רגולציה ויישום תוכנה,1/5/28,28/4/29
מודול שמאים,מסמך דרישות,1/5/28,28/6/28
מודול שמאים,הגדרת רגולציה ויישום תוכנה,1/7/28,28/6/29
היסטוריית תביעות ביטוח,מסמך דרישות,1/7/28,28/8/28
היסטוריית תביעות ביטוח,הגדרת רגולציה ויישום תוכנה,1/9/28,28/12/29
מודול גריטה,מסמך דרישות,1/9/28,28/10/28
מודול גריטה,כתיבת מכרז,1/11/28,28/3/29
מודול גריטה,פרסום מכרז ובחירת זוכה,1/4/29,28/8/29
מודול גריטה,הגדרת רגולציה ויישום תוכנה,1/9/29,28/12/30
